                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5832,                 3.5545,                  2.641,                 1.7354,                0.22858,                0.34297,                  0.245,                0.15994,                0.24801,                0.33616,                0.23548,                0.12597,                 1.1245,                 2.4647,                 1.8003,                 1.3651,               0.070068,              0.0033258,              0.0033258
                      1,                 1.1002,                 2.6183,                 1.7673,                 1.4076,                0.47211,                0.47554,                0.44901,                 0.2984,                0.44366,                0.47402,                0.42321,                0.23321,                 1.0192,                 2.1885,                 1.5005,                 1.2775,               0.039738,              0.0063295,              0.0063295
                      2,                 1.0458,                 2.5527,                 1.6686,                 1.3484,                0.56532,                0.44843,                0.45893,                  0.307,                0.60019,                0.43107,                0.44521,                0.24389,                0.93978,                 2.1741,                 1.5262,                 1.2209,              0.0090788,              0.0090032,              0.0090032
                      3,                 1.0404,                 2.4174,                  1.547,                 1.3136,                0.34171,                0.46328,                0.26876,                0.17332,                0.33216,                0.45395,                0.25299,                0.13509,                   1.07,                 3.2665,                 1.6534,                 1.2888,               0.008515,               0.008515,               0.008515
                      4,                  1.029,                 2.4019,                  1.414,                 1.3229,                0.53904,                0.51524,                0.48543,                0.31537,                0.53894,                0.50981,                0.47291,                0.26533,                 0.9979,                  2.399,                 1.5381,                 1.2496,               0.008515,               0.008515,               0.008515
                      5,                 1.0302,                 2.4034,                 1.4638,                 1.3256,                0.68978,                0.49213,                0.58343,                0.38641,                0.66881,                 0.4722,                0.55249,                0.31929,                 1.0552,                 2.2393,                 1.3569,                 1.2946,                0.00802,                0.00802,                0.00802
                      6,                 1.0208,                 2.3906,                 1.3563,                 1.3267,                0.26604,                0.55322,                0.21193,                 0.1443,                 0.2607,                 0.5354,                0.20607,                0.11801,                 1.0662,                 2.7378,                 2.6884,                 1.2995,               0.007525,               0.007525,               0.007525
                      7,                 1.0186,                 2.3631,                 1.3103,                 1.3215,                0.66579,                0.55721,                0.58422,                0.41152,                0.71769,                0.49871,                0.55946,                0.33406,                0.93625,                 2.0449,                 1.2603,                 1.2026,                0.00703,                0.00703,                0.00703
                      8,                0.96167,                 2.2897,                  1.208,                 1.2891,                0.67858,                0.56576,                0.61918,                0.43864,                0.66853,                0.55644,                0.59852,                0.35036,                0.91076,                 2.0821,                 1.2365,                 1.1801,               0.006535,               0.006535,               0.006535
                      9,                0.96889,                 2.2767,                 1.1794,                 1.2881,                0.62221,                0.62169,                0.59532,                0.40427,                0.61926,                0.61878,                0.59017,                0.32996,                0.94126,                 2.2684,                 1.2899,                 1.1949,                0.00604,                0.00604,                0.00604
                     10,                0.94069,                  2.213,                 1.1677,                 1.2627,                0.72353,                0.56829,                 0.6094,                0.42624,                0.72541,                0.56052,                0.59357,                0.34729,                0.94383,                  2.097,                 1.2344,                 1.1772,               0.005545,               0.005545,               0.005545
                     11,                0.91175,                 2.2219,                 1.2023,                 1.2382,                0.71461,                0.62987,                 0.6093,                0.44187,                0.70597,                 0.6239,                0.59608,                0.36437,                0.92974,                 2.0315,                 1.2337,                 1.2125,                0.00505,                0.00505,                0.00505
                     12,                0.91214,                 2.1676,                 1.1521,                  1.259,                0.73489,                0.59588,                0.63964,                0.44694,                0.71601,                  0.585,                0.61552,                0.37042,                0.92119,                 2.0477,                 1.2033,                 1.2115,               0.004555,               0.004555,               0.004555
                     13,                0.88369,                  2.157,                  1.111,                 1.2391,                0.77851,                0.53526,                0.63255,                0.45122,                0.78782,                0.53876,                0.63888,                0.37332,                0.90117,                 2.0306,                 1.2211,                 1.1824,                0.00406,                0.00406,                0.00406
                     14,                0.85953,                 2.1718,                 1.0753,                 1.2193,                0.37801,                0.57725,                0.32252,                0.22408,                0.36392,                 0.5622,                0.31105,                 0.1748,                0.93188,                 2.2986,                  5.054,                 1.2345,               0.003565,               0.003565,               0.003565
                     15,                0.85652,                 2.1456,                 1.0617,                 1.2175,                0.77258,                0.53398,                0.63165,                0.43949,                0.62191,                0.61558,                 0.6199,                0.36372,                0.93136,                 2.0514,                 1.2355,                 1.2246,                0.00307,                0.00307,                0.00307
                     16,                0.84632,                  2.096,                 1.0321,                  1.201,                0.69842,                0.54148,                0.61957,                0.44791,                0.70998,                0.54789,                 0.6144,                0.37159,                0.89318,                 2.0538,                 1.2389,                 1.1791,               0.002575,               0.002575,               0.002575
                     17,                0.82395,                   2.11,                 1.0129,                 1.2015,                0.69072,                0.54398,                0.63057,                 0.4342,                0.66663,                0.52777,                0.60147,                0.36502,                0.88389,                 2.0513,                 1.2335,                 1.1789,                0.00208,                0.00208,                0.00208
                     18,                0.79979,                 2.0383,                0.97525,                 1.1866,                0.55664,                0.58911,                 0.4923,                0.33404,                0.55187,                0.57842,                0.47138,                 0.2808,                0.91802,                 2.1972,                 1.9263,                 1.2299,               0.001585,               0.001585,               0.001585
                     19,                0.79045,                 1.9934,                0.95899,                 1.1753,                0.51078,                0.59173,                0.42624,                0.28962,                0.50961,                0.58202,                0.41554,                 0.2357,                0.90586,                 2.3489,                 1.6253,                 1.2293,                0.00109,                0.00109,                0.00109
