                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5618,                 3.4585,                 2.6281,                 1.7223,                0.37299,                0.33546,                0.26798,                 0.1701,                0.39802,                0.34672,                0.26323,                0.13996,                 1.1318,                 2.4399,                   1.83,                 1.3839,               0.070076,              0.0033249,              0.0033249
                      1,                 1.0873,                 2.5912,                 1.7739,                 1.3988,                0.41201,                0.43408,                0.40339,                0.26643,                0.40901,                0.45316,                0.40808,                0.22148,                 1.0273,                 2.2517,                 1.5428,                 1.2984,               0.039747,              0.0063286,              0.0063286
                      2,                0.99413,                    2.4,                 1.5889,                 1.3255,                0.49901,                0.41902,                0.39604,                0.26965,                0.44826,                0.40938,                0.37736,                0.22667,                0.97911,                  2.108,                 1.5956,                 1.2425,               0.009087,              0.0090024,              0.0090024
                      3,                 0.9928,                  2.397,                 1.4472,                 1.3158,                0.33129,                0.44193,                0.29223,                0.18328,                0.28796,                0.46503,                0.26357,                0.13661,                 1.0043,                 2.4977,                 2.8766,                 1.2736,               0.008515,               0.008515,               0.008515
                      4,                0.95059,                 2.3262,                 1.3469,                 1.2861,                0.28993,                0.61509,                0.23144,                 0.1598,                0.28548,                 0.6017,                0.22005,                0.12664,                0.94621,                  2.096,                 1.8442,                  1.183,               0.008515,               0.008515,               0.008515
                      5,                0.97163,                  2.244,                 1.4103,                 1.2833,                0.70585,                0.57179,                0.58714,                0.41055,                0.70265,                0.56631,                0.56371,                0.32681,                0.96427,                 2.0241,                 1.2783,                 1.2092,                0.00802,                0.00802,                0.00802
                      6,                0.98033,                 2.2683,                 1.2526,                 1.2882,                0.35297,                0.52737,                0.27442,                0.18019,                 0.3473,                0.51111,                0.26158,                0.14666,                0.99298,                  2.287,                 3.5243,                 1.2317,               0.007525,               0.007525,               0.007525
                      7,                0.96928,                 2.2299,                 1.2108,                 1.3001,                0.64528,                0.60015,                0.59644,                0.41907,                0.64838,                 0.5968,                0.58797,                0.34571,                0.95712,                 2.0482,                 1.2748,                 1.2056,                0.00703,                0.00703,                0.00703
                      8,                0.93269,                 2.2215,                 1.1831,                 1.2642,                0.37919,                0.62261,                0.33877,                0.23317,                0.37928,                0.61798,                0.33473,                0.19494,                 1.0165,                  2.478,                 5.6633,                 1.2904,               0.006535,               0.006535,               0.006535
                      9,                 0.8991,                 2.1323,                 1.1751,                 1.2411,                0.47652,                0.57826,                0.52545,                0.36135,                0.53241,                0.50123,                0.51348,                 0.3046,                0.98577,                 2.0231,                 1.3082,                 1.2279,                0.00604,                0.00604,                0.00604
                     10,                0.90481,                 2.1923,                 1.1531,                 1.2431,                0.34074,                0.61048,                0.26719,                0.17746,                0.33908,                0.57746,                0.25552,                0.14477,                0.96561,                 17.595,                    inf,                  1.408,               0.005545,               0.005545,               0.005545
                     11,                0.87562,                 2.1176,                 1.1037,                 1.2391,                0.71191,                0.52018,                0.58471,                0.40732,                0.69959,                0.52512,                0.58452,                0.34835,                    nan,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     12,                0.87486,                 2.0866,                 1.0799,                 1.2253,                0.52778,                0.59114,                0.43814,                0.28874,                0.53649,                0.59166,                0.43539,                0.24104,                 0.9565,                 2.2733,                 2.2216,                 1.2182,               0.004555,               0.004555,               0.004555
                     13,                0.84058,                 2.1052,                 1.0598,                 1.2101,                0.40656,                0.61265,                0.36086,                0.25687,                0.40601,                0.61182,                0.35862,                0.21731,                0.91807,                 2.1585,                 3.8498,                 1.1867,                0.00406,                0.00406,                0.00406
                     14,                0.82743,                 2.0265,                 1.0157,                 1.1924,                0.41954,                0.59843,                0.31245,                0.21305,                0.42548,                0.59072,                0.31043,                0.17902,                 0.8954,                 4.1558,                 8.0257,                 1.2024,               0.003565,               0.003565,               0.003565
                     15,                0.81205,                 2.0433,                 1.0534,                 1.1977,                 0.5534,                0.60814,                0.46224,                0.31857,                0.54792,                0.60556,                0.43794,                 0.2613,                0.90186,                 2.0317,                 1.9368,                 1.1829,                0.00307,                0.00307,                0.00307
                     16,                0.82076,                 2.0831,                0.99064,                 1.1944,                0.57079,                0.61686,                0.51007,                0.35321,                0.58011,                 0.5815,                0.48756,                0.30368,                0.92999,                 5.9512,                 10.031,                 1.2635,               0.002575,               0.002575,               0.002575
                     17,                 0.7966,                 2.0139,                0.97612,                 1.1809,                0.40098,                0.49508,                0.29622,                0.19256,                0.37406,                0.48134,                0.26658,                0.14608,                0.98206,                 2.2006,                 2.1648,                 1.2113,                0.00208,                0.00208,                0.00208
                     18,                0.78016,                 1.9976,                0.95439,                 1.1648,                0.45231,                0.63218,                0.38399,                0.25754,                0.44776,                0.62813,                0.37125,                0.21916,                0.88885,                 2.1331,                 1.8254,                 1.1727,               0.001585,               0.001585,               0.001585
                     19,                0.77243,                 1.9977,                0.93683,                 1.1673,                 0.6703,                0.63562,                0.65001,                0.47856,                0.67433,                0.63909,                0.64593,                 0.4111,                0.86415,                  1.942,                 1.1266,                 1.1548,                0.00109,                0.00109,                0.00109
