                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.95,                 3.9144,                 2.0642,                0.00351,                0.74245,                0.02688,                0.01206,                 1.6229,                 3.7316,                 1.9068,               0.070053,              0.0033275,              0.0033275
                      1,                 1.5198,                 3.1153,                 1.6908,                0.29842,                0.21622,                0.29925,                0.13871,                 1.6941,                 3.0015,                 2.0038,               0.039921,              0.0065289,              0.0065289
                      2,                 1.5483,                 2.6216,                 1.6743,                 0.1714,                0.32671,                0.14817,                0.06227,                 1.9534,                 3.4837,                 2.2001,              0.0096569,              0.0095984,              0.0095984
                      3,                 1.5439,                 2.4975,                 1.6223,                0.62151,                0.38315,                0.43595,                0.18388,                 1.8368,                  2.784,                 1.8111,               0.009406,               0.009406,               0.009406
                      4,                 1.5823,                 2.4069,                 1.6041,                0.29101,                0.58029,                0.32182,                0.10639,                 2.1113,                 3.5686,                 1.9925,               0.009406,               0.009406,               0.009406
                      5,                 1.5187,                 2.2132,                 1.5507,                0.38764,                0.56332,                0.42545,                0.15911,                 2.0158,                  3.661,                 1.9019,               0.009208,               0.009208,               0.009208
                      6,                 1.5043,                 2.0676,                 1.5532,                0.35646,                0.39666,                0.22687,                0.08268,                 1.9128,                 8.2618,                 1.9813,                0.00901,                0.00901,                0.00901
                      7,                 1.5367,                 2.0932,                 1.5763,                0.36996,                0.75664,                0.42321,                0.15833,                 1.8336,                 4.1525,                 1.7709,               0.008812,               0.008812,               0.008812
                      8,                 1.4294,                 1.9401,                 1.4569,                0.27894,                0.42369,                0.26073,                 0.1009,                 1.8057,                  4.067,                 1.8345,               0.008614,               0.008614,               0.008614
                      9,                 1.4721,                 1.7948,                 1.5182,                0.54564,                0.62957,                0.49555,                0.20963,                 1.8469,                 2.4868,                 1.8076,               0.008416,               0.008416,               0.008416
                     10,                 1.4743,                 1.7271,                  1.536,                0.49211,                0.58665,                 0.5058,                0.20601,                 1.9145,                 2.8782,                 1.8525,               0.008218,               0.008218,               0.008218
                     11,                 1.4423,                 1.7078,                 1.5047,                0.43716,                0.63434,                0.42131,                 0.1408,                  2.026,                 3.3514,                 1.9247,                0.00802,                0.00802,                0.00802
                     12,                  1.449,                 1.6386,                 1.5153,                0.29882,                 0.7728,                0.31585,                 0.1415,                 1.9187,                  10.07,                 1.9029,               0.007822,               0.007822,               0.007822
                     13,                 1.4004,                 1.5594,                 1.4794,                0.75458,                0.32244,                0.27831,                0.11173,                 2.2755,                  2.709,                  2.156,               0.007624,               0.007624,               0.007624
                     14,                   1.45,                 1.5241,                 1.4937,                0.58761,                0.59128,                0.55953,                0.21256,                 1.9342,                 3.3135,                 1.8841,               0.007426,               0.007426,               0.007426
                     15,                 1.4159,                 1.4641,                 1.4994,                0.31363,                0.73847,                0.35661,                0.12462,                 1.9618,                 16.848,                 1.9592,               0.007228,               0.007228,               0.007228
                     16,                   1.41,                 1.4879,                 1.4803,                0.55444,                0.80127,                0.56852,                0.24233,                 1.8476,                 2.9713,                 1.7885,                0.00703,                0.00703,                0.00703
                     17,                 1.3151,                 1.3064,                 1.4024,                0.75754,                0.62858,                0.64104,                0.27466,                 1.8244,                  2.083,                 1.7352,               0.006832,               0.006832,               0.006832
                     18,                 1.3483,                 1.4031,                 1.4367,                0.38142,                0.87458,                 0.4838,                0.23573,                 1.8371,                  6.637,                 1.7546,               0.006634,               0.006634,               0.006634
                     19,                 1.3025,                 1.3366,                 1.3864,                0.60996,                0.81396,                0.65164,                0.27531,                 1.8519,                 3.5058,                 1.7098,               0.006436,               0.006436,               0.006436
                     20,                 1.3589,                 1.3487,                  1.438,                0.46591,                 0.6725,                0.51962,                0.19846,                 2.1034,                 3.5503,                 1.9122,               0.006238,               0.006238,               0.006238
                     21,                 1.3492,                  1.286,                 1.4266,                 0.5472,                 0.7655,                0.59437,                0.27245,                 1.9219,                 2.9316,                 1.7577,                0.00604,                0.00604,                0.00604
                     22,                 1.2772,                 1.2467,                 1.3724,                0.56992,                0.60095,                0.50551,                0.23069,                 1.9875,                 4.4865,                 1.9587,               0.005842,               0.005842,               0.005842
                     23,                 1.2941,                 1.2455,                 1.3964,                0.58349,                0.63434,                 0.5089,                0.17229,                 2.0694,                 4.2084,                 1.9532,               0.005644,               0.005644,               0.005644
                     24,                  1.331,                 1.2141,                 1.4184,                 0.6766,                0.81479,                0.74829,                0.31178,                 1.9677,                 2.7795,                 1.8207,               0.005446,               0.005446,               0.005446
                     25,                 1.2703,                  1.208,                 1.3798,                0.75754,                0.62049,                0.66351,                0.31141,                 1.8727,                  2.237,                 1.8934,               0.005248,               0.005248,               0.005248
                     26,                 1.2907,                 1.2032,                 1.3976,                  0.631,                0.79889,                0.75087,                0.29265,                 2.0366,                 2.3816,                 2.0015,                0.00505,                0.00505,                0.00505
                     27,                 1.2686,                 1.1761,                 1.3896,                0.67958,                0.84658,                0.78319,                0.34272,                 1.9142,                 3.3076,                 1.7508,               0.004852,               0.004852,               0.004852
                     28,                 1.2244,                 1.1706,                 1.3388,                 0.7786,                0.63831,                0.73341,                0.29986,                 1.9335,                 1.8325,                 1.8185,               0.004654,               0.004654,               0.004654
                     29,                 1.2928,                 1.1468,                 1.3826,                0.72062,                0.72038,                0.65286,                0.23703,                 1.9747,                 2.4007,                 1.8607,               0.004456,               0.004456,               0.004456
                     30,                  1.235,                 1.1271,                 1.3359,                0.76994,                0.81479,                0.76742,                0.32489,                 1.9516,                 2.7374,                 1.8125,               0.004258,               0.004258,               0.004258
                     31,                 1.1831,                 1.0134,                  1.303,                0.74272,                0.63074,                0.69054,                0.28583,                 1.9209,                 2.0809,                 1.8696,                0.00406,                0.00406,                0.00406
                     32,                 1.1928,                 1.0887,                 1.3033,                 0.7374,                0.91346,                0.83104,                0.39954,                 1.7619,                 1.7843,                 1.7008,               0.003862,               0.003862,               0.003862
                     33,                 1.1903,                 1.0743,                 1.3097,                0.78239,                0.93135,                0.89371,                0.42284,                 1.8004,                 1.8106,                 1.6934,               0.003664,               0.003664,               0.003664
                     34,                 1.1522,                 1.0261,                 1.2818,                0.75773,                0.90302,                0.82288,                0.37815,                 1.8534,                 1.9361,                 1.6904,               0.003466,               0.003466,               0.003466
                     35,                 1.1922,                 1.0379,                  1.314,                0.78374,                0.75215,                0.82607,                0.37654,                 1.8886,                 1.6968,                 1.7737,               0.003268,               0.003268,               0.003268
                     36,                 1.1674,                 1.0336,                 1.2982,                0.76853,                0.91892,                0.87597,                0.41286,                 1.8717,                 1.6501,                 1.7468,                0.00307,                0.00307,                0.00307
                     37,                 1.1509,                0.95476,                 1.2752,                0.76745,                0.89493,                0.80913,                0.38606,                 1.7544,                 1.9738,                 1.6387,               0.002872,               0.002872,               0.002872
                     38,                 1.1806,                 1.0257,                 1.3176,                 0.7668,                0.90302,                0.88181,                0.38985,                 1.8044,                 1.7709,                 1.6957,               0.002674,               0.002674,               0.002674
                     39,                 1.1179,                0.95043,                 1.2487,                0.82702,                0.91223,                0.91043,                0.41825,                 1.8128,                 1.8227,                 1.6771,               0.002476,               0.002476,               0.002476
                     40,                 1.1392,                0.91228,                 1.2627,                0.72561,                0.91415,                0.87065,                  0.438,                 1.7872,                 1.5289,                 1.6931,               0.002278,               0.002278,               0.002278
                     41,                 1.1574,                0.96907,                 1.2911,                0.77132,                0.77662,                0.85665,                0.41534,                 1.7629,                   1.84,                 1.6997,                0.00208,                0.00208,                0.00208
                     42,                 1.1016,                0.95885,                 1.2455,                0.87317,                0.84904,                0.90503,                0.44301,                 1.7594,                 1.8673,                 1.6731,               0.001882,               0.001882,               0.001882
                     43,                    1.1,                0.89636,                 1.2439,                0.79197,                0.93005,                 0.8784,                0.40074,                 1.7661,                 2.0877,                 1.6492,               0.001684,               0.001684,               0.001684
                     44,                 1.1045,                0.94655,                 1.2589,                0.77754,                0.83068,                0.80337,                0.38509,                 1.7234,                 2.0338,                 1.6224,               0.001486,               0.001486,               0.001486
                     45,                 1.0624,                0.89779,                 1.2195,                0.82057,                0.88712,                0.88697,                0.42796,                 1.7657,                  2.054,                 1.6483,               0.001288,               0.001288,               0.001288
                     46,                 1.0806,                0.85955,                 1.2308,                0.87694,                0.87944,                0.90117,                0.42402,                 1.8198,                  1.866,                 1.7134,                0.00109,                0.00109,                0.00109
                     47,                  1.042,                 0.8775,                 1.2024,                0.89923,                0.84779,                0.87867,                0.39394,                 1.8266,                 1.7543,                 1.7173,               0.000892,               0.000892,               0.000892
                     48,                 1.0963,                 0.8823,                 1.2778,                0.87246,                 0.9228,                0.93599,                0.44945,                 1.7714,                  1.938,                 1.6936,               0.000694,               0.000694,               0.000694
                     49,                 1.0448,                0.88224,                 1.2047,                0.88377,                0.87878,                0.90851,                0.42569,                 1.8321,                 1.8849,                 1.7427,               0.000496,               0.000496,               0.000496
