,frame,time,class,min_confidence,bounding_box_x,bounding_box_y,bounding_box_x2,bounding_box_y2
0,0,0.0,graminia,0.6,0.8,0.0,0.99375,0.2125
1,1,0.016666666666666666,graminia,0.6,0.8,0.0,0.99375,0.2125
2,2,0.03333333333333333,graminia,0.6,0.8,0.0,0.99375,0.2125
3,3,0.05,graminia,0.6,0.8,0.0,0.99375,0.2125
4,4,0.06666666666666667,graminia,0.6,0.8015625,0.0,0.99375,0.2125
5,5,0.08333333333333333,graminia,0.6,0.8,0.0,0.99375,0.2125
6,6,0.1,graminia,0.6,0.8,0.0,0.9953125,0.2125
7,7,0.11666666666666667,graminia,0.6,0.8,0.0,0.99375,0.2125
8,8,0.13333333333333333,graminia,0.6,0.8,0.0,0.99375,0.2125
9,9,0.15,graminia,0.6,0.8,0.0,0.99375,0.2125
10,10,0.16666666666666666,graminia,0.6,0.8,0.0,0.99375,0.2125
11,11,0.18333333333333332,graminia,0.6,0.8,0.0015625,0.99375,0.2125
12,12,0.2,graminia,0.6,0.8,0.0015625,0.99375,0.2125
13,13,0.21666666666666667,graminia,0.6,0.8,0.0,0.99375,0.2125
14,14,0.23333333333333334,graminia,0.6,0.8,0.0,0.99375,0.2125
15,15,0.25,graminia,0.6,0.8,0.0015625,0.99375,0.2125
16,16,0.26666666666666666,graminia,0.6,0.8,0.0015625,0.99375,0.2125
17,17,0.2833333333333333,graminia,0.6,0.8,0.0015625,0.99375,0.2125
18,18,0.3,graminia,0.6,0.8,0.0015625,0.99375,0.2125
19,19,0.31666666666666665,graminia,0.6,0.8,0.0015625,0.99375,0.2125
20,20,0.3333333333333333,graminia,0.6,0.8,0.0015625,0.99375,0.2125
21,21,0.35,graminia,0.6,0.8,0.0015625,0.99375,0.2125
22,22,0.36666666666666664,graminia,0.6,0.8,0.0015625,0.99375,0.2125
23,23,0.38333333333333336,graminia,0.6,0.8,0.0015625,0.99375,0.2125
24,24,0.4,graminia,0.6,0.8,0.0015625,0.99375,0.2125
25,25,0.4166666666666667,graminia,0.6,0.8,0.0015625,0.99375,0.2125
26,26,0.43333333333333335,graminia,0.6,0.8,0.0015625,0.9953125,0.2125
27,27,0.45,graminia,0.6,0.8,0.0015625,0.99375,0.2125
28,28,0.4666666666666667,graminia,0.6,0.8,0.0015625,0.99375,0.2125
